,Capital,Temp,Wind
0,Mumbai ,28.21°,Southerly 7.5km/h
1,Bengaluru ,22.2°,Calm 3.6km/h
2,Chennai ,27°,Calm 0km/h
3,Hyderabad ,24.2°,Calm 0km/h
4,Kolkata ,30.4°,South-southeasterly 3.6km/h
5,Ahmedabad ,27.6°,South-southeasterly 11.1km/h
6,Pune ,23.6°,Calm 0km/h
